number,returns,variances,epsilon
216450,[0.20000 0.40000],[0.00000 0.00000],0.2807557545978517
216500,[0.20000 0.40000],[0.00000 0.00000],0.28070102597946217
216550,[0.16000 0.36000],[0.00640 0.00640],0.28064716964682723
216600,[0.20000 0.40000],[0.00000 0.00000],0.2805937543742667
216650,[0.20000 0.40000],[0.00000 0.00000],0.28054465575473847
216700,[0.20000 0.40000],[0.00000 0.00000],0.2804886765854573
216750,[0.20000 0.40000],[0.00000 0.00000],0.28042366864938406
216800,[0.20000 0.40000],[0.00000 0.00000],0.2803711566854666
216850,[0.20000 0.40000],[0.00000 0.00000],0.2803147818363274
216900,[0.16000 0.36000],[0.00640 0.00640],0.280258633428972
216950,[0.20000 0.40000],[0.00000 0.00000],0.2802070126354485
217000,[0.20000 0.40000],[0.00000 0.00000],0.28015110083861966
217050,[0.20000 0.40000],[0.00000 0.00000],0.28009391031519354
217100,[0.20000 0.40000],[0.00000 0.00000],0.280041030222421
217150,[0.20000 0.40000],[0.00000 0.00000],0.2799814983278635
217200,[0.20000 0.40000],[0.00000 0.00000],0.27992348302921155
217250,[0.20000 0.40000],[0.00000 0.00000],0.2798629021075222
217300,[0.20000 0.40000],[0.00000 0.00000],0.2798036228370655
217350,[0.20000 0.40000],[0.00000 0.00000],0.279746288535098
217400,[0.20000 0.40000],[0.00000 0.00000],0.2796904686699874
217450,[0.20000 0.40000],[0.00000 0.00000],0.2796365915975018
217500,[0.20000 0.40000],[0.00000 0.00000],0.2795857291469561
217550,[0.20000 0.40000],[0.00000 0.00000],0.2795329449958176
217600,[0.20000 0.40000],[0.00000 0.00000],0.27947652418151697
217650,[0.20000 0.40000],[0.00000 0.00000],0.2794224738566288
217700,[0.20000 0.40000],[0.00000 0.00000],0.27935985718876166
217750,[0.20000 0.40000],[0.00000 0.00000],0.27930197070110824
217800,[0.20000 0.40000],[0.00000 0.00000],0.27924709681300575
217850,[0.20000 0.40000],[0.00000 0.00000],0.27919887671160604
217900,[0.20000 0.40000],[0.00000 0.00000],0.2791343819516717
217950,[0.20000 0.40000],[0.00000 0.00000],0.27906883112171266
218000,[0.20000 0.40000],[0.00000 0.00000],0.27901614455789936
218050,[0.20000 0.40000],[0.00000 0.00000],0.2789628256046179
218100,[0.20000 0.40000],[0.00000 0.00000],0.27891037312556727
218150,[0.20000 0.40000],[0.00000 0.00000],0.2788545060280732
218200,[0.20000 0.40000],[0.00000 0.00000],0.2787975801937229
218250,[0.20000 0.40000],[0.00000 0.00000],0.2787393823350604
218300,[0.20000 0.40000],[0.00000 0.00000],0.27868312169312004
